기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2024","상법(보험편)","1. 상법상 보험계약관계자에 관한 설명으로 옳지 않은 것은?","1. 손해보험의 보험자는 보험사고가 발생한 경우 보험금 지급의무를 지는 자이다.","2. 손해보험의 보험계약자는 자기명의로 보험계약을 체결하고 보험료 지급의무를 지는 자이다.","3. 손해보험의 피보험자는 피보험이익의 주체로서 보험사고가 발생한 때에 보험금을 받을 자이다.","4. 손해보험의 보험수익자는 보험사고가 발생한 때에 보험금을 지급받을 자로 지정된 자이다.","4","손해보험에는 보험수익자라는 개념이 존재하지 않으며, 보험수익자는 인보험에서 보험금을 지급받는 자를 의미한다. 손해보험에서는 피보험자가 보험수익자의 지위를 겸한다.",""
"2024","상법(보험편)","2. 상법상 보험계약의 체결에 관한 설명으로 옳은 것은?","1. 보험계약은 청약과 승낙에 의한 합의와 보험증권의 교부로 성립한다.","2. 기존의 보험계약을 연장하거나 변경한 경우에는 보험자는 그 보험증권에 그 사실을 기재함으로써 보험증권의 교부에 갈음할 수 있다.","3. 보험자는 보험계약이 성립된 후 보험계약자에게 보험약관을 교부하고 그 약관의 중요한 내용을 설명하여야 한다.","4. 보험자가 보험계약자로부터 보험계약의 청약과 함께 보험료 상당액의 전부 또는 일부의 지급을 받은 때에는 계약이 성립한 것으로 본다.","2","상법 제640조 제2항에 따라 기존 보험계약을 연장하거나 변경한 경우 보험자는 보험증권에 그 사실을 기재함으로써 증권 교부에 갈음할 수 있다. 1번은 불요식 낙성계약이므로 틀리고, 3번은 계약체결 시 약관을 교부해야 하므로 틀리며, 4번은 승낙 전 보호제도에 해당하나 계약 성립으로 보지는 않는다.",""
"2024","상법(보험편)","3. 상법상 보험증권에 관한 설명으로 옳지 않은 것은?","1. 타인을 위한 보험계약이 성립된 경우에는 보험자는 그 타인에게 보험증권을 교부해야 한다.","2. 보험계약의 당사자는 보험증권의 교부가 있은 날로부터 일정한 기간내에 한하여 그 증권내용의 정부(正否)에 관한 이의를 할 수 있음을 약정할 수 있다. 이 기간은 1월을 내리지 못한다.","3. 보험증권을 멸실 또는 현저하게 훼손한 때에는 보험계약자는 보험자에 대하여 증권의 재교부를 청구할 수 있고, 그 증권작성의 비용은 보험계약자의 부담으로 한다.","4. 보험자는 보험계약이 성립한 때에는 지체없이 보험증권을 작성하여 보험계약자에게 교부하여야 한다.","1","타인을 위한 보험계약에서 보험증권은 보험계약자에게 교부하는 것이 원칙이다. 타인(피보험자)은 보험계약자의 동의가 없으면 증권의 교부를 청구하지 못한다.",""
"2024","상법(보험편)","4. 보험설계사가 가진 상법상 권한으로 옳은 것은?","1. 보험계약자로부터 고지에 관한 의사표시를 수령할 수 있는 권한","2. 보험계약자에게 영수증을 교부하지 않고 보험료를 수령할 수 있는 권한","3. 보험자가 작성한 보험증권을 보험계약자에게 교부할 수 있는 권한","4. 보험계약자로부터 통지에 관한 의사표시를 수령할 수 있는 권한","3","상법 제646조의2 제1항 제3호에 따라 보험설계사는 보험자가 작성한 보험증권을 보험계약자에게 교부할 권한이 있다. 고지수령권이나 통지수령권은 없다.",""
"2024","상법(보험편)","5. 상법상 보험료에 관한 설명으로 옳은 것을 모두 고른 것은?","1. ㄱ, ㄴ","2. ㄱ, ㄷ","3. ㄴ, ㄹ","4. ㄷ, ㄹ","1","ㄱ은 상법 제647조, ㄴ은 상법 제648조에 따라 옳다. ㄷ은 '해제할 수 있다'가 아니라 '해제된 것으로 본다'이고, ㄹ은 '해지된 것으로 본다'가 아니라 '해지할 수 있다'이다.",""
"2024","상법(보험편)","6. 甲이 乙 소유의 농장에 대해 乙의 허락 없이 乙을 피보험자로 하여 A보험회사와 화재보험계약을 체결한 경우, 그 법률관계에 관한 설명으로 옳지 않은 것은?","1. 보험계약 체결시 A보험회사가 서면으로 질문한 사항은 중요한 사항으로 추정한다.","2. 보험사고가 발생하기 전에는 甲은 언제든지 계약의 전부 또는 일부를 해지할 수 있다.","3. 甲이 乙의 위임이 없음을 A보험회사에게 고지하지 않은 때에는 乙이 그 보험계약이 체결된 사실을 알지 못하였다는 사유로 A보험회사에게 대항하지 못한다.","4. 보험계약당시에 甲 또는 乙이 고의 또는 중대한 과실로 인하여 중요한 사항을 고지하지 아니하거나 부실의 고지를 한 때에는 A보험회사는 그 사실을 안 날로부터 1월 내에, 계약을 체결한 날로부터 3년내에 한하여 계약을 해지할 수 있다.","2","타인을 위한 보험계약에서 보험계약자 甲은 보험사고 발생 전에는 언제든지 계약을 해지할 수 있으나, 타인(乙)의 동의를 얻거나 보험증권을 소지하고 있어야 한다.",""
"2024","상법(보험편)","7. 상법상 보험사고에 관한 설명으로 옳지 않은 것은?","1. 보험계약당시에 보험사고가 이미 발생하였거나 또는 발생할 수 없는 것인 때에는 그 계약은 무효로 한다.","2. 보험계약당시에 보험사고가 발생할 수 없는 것이었지만 당사자 쌍방과 피보험자가 이를 알지 못한 때에는 그 계약은 유효하다.","3. 보험사고의 발생으로 보험자가 보험금액을 지급한 때에도 보험금액이 감액되지 아니하는 보험의 경우에는 보험계약자는 그 사고발생후에도 보험계약을 해지할 수 있다.","4. 보험사고가 발생하기 전에 보험계약을 해지한 보험계약자는 미경과보험료의 반환을 청구할 수 없다.","4","보험사고가 발생하기 전에 보험계약을 해지한 보험계약자는 상법 제649조 제3항에 따라 미경과보험료의 반환을 청구할 수 있다.",""
"2024","상법(보험편)","8. 상법상 보험대리상의 권한을 모두 고른 것은?","1. ㄱ, ㄴ, ㄷ","2. ㄱ, ㄴ, ㄹ","3. ㄱ, ㄷ, ㄹ","4. ㄴ, ㄷ, ㄹ","1","상법 제646조의2 제1항에 따라 보험대리상은 보험료 수령권, 고지수령권, 보험계약의 해지권(의사표시 수령/발송 포함)을 가지나 보험금수령권은 명시되어 있지 않다.",""
"2024","상법(보험편)","9. 보험기간 중에 보험사고의 발생 위험이 현저하게 변경 또는 증가된 경우의 법률관계에 관한 설명으로 옳은 것은?","1. 보험수익자의 고의로 인하여 사고 발생의 위험이 현저하게 증가된 때에는 보험자는 그 사실을 안 날로부터 1월내에 보험계약을 해지할 수 있을 뿐이고, 보험료의 증액을 청구할 수는 없다.","2. 보험계약자가 지체없이 위험변경증가의 통지를 한 때에는 보험자는 1월내에 보험료 증액을 청구할 수 있을 뿐이고 보험계약을 해지할 수는 없다.","3. 보험계약자가 위험변경증가의 통지를 해태한 때에는 보험자는 그 사실을 안 날로부터 1월내에 한하여 계약을 해지할 수 있다.","4. 타인을 위한 손해보험의 타인이 사고발생 위험이 현저하게 변경 또는 증가된 사실을 알게된 경우 이를 보험자에게 통지할 의무는 없다.","3","상법 제652조에 따라 보험계약자 등이 위험변경증가의 통지를 해태한 때에는 보험자는 그 사실을 안 날로부터 1월내에 한하여 계약을 해지할 수 있다.",""
"2024","상법(보험편)","10. 보험사고가 발생한 경우 그 법률관계에 관한 설명으로 옳지 않은 것은?","1. 보험수익자가 보험사고의 발생을 안 때에는 지체없이 보험자에게 그 통지를 발송하여야 한다.","2. 보험계약자가 보험사고의 발생을 알았음에도 지체없이 보험자에게 그 통지를 발송하지 않은 경우 보험자는 계약을 해지할 수 있다.","3. 보험계약 당사자간에 다른 약정이 없으면 최초보험료를 보험자가 지급받은 때로부터 보험자의 책임이 개시된다.","4. 위험이 현저하게 변경 또는 증가된 사실이 보험사고 발생에 영향을 미친 경우, 보험자가 위험변경증가의 통지를 못 받았음을 이유로 유효하게 계약을 해지하면 보험금을 지급할 책임이 없다.","2","보험사고 발생 통지의무 위반은 보험자가 그로 인하여 증가된 손해에 대해 보상책임을 면하는 근거가 될 뿐, 계약 해지 사유는 아니다.",""
"2024","상법(보험편)","11. 보험자의 보험금액의 지급에 관한 설명으로 옳지 않은 것은?","1. 보험수익자의 중과실로 인하여 보험사고가 생긴 때에는 보험자는 보험금액을 지급할 책임이 없다.","2. 보험계약자의 고의로 보험사고가 생긴 때에는 보험자는 보험금액을 지급할 책임이 없다.","3. 보험금액의 지급에 관하여 약정기간이 없는 경우에는 보험자는 보험사고 발생의 통지를 받은 후 지체없이 지급할 보험금액을 정해야 한다.","4. 보험자가 파산선고를 받았으나 보험계약자가 계약을 해지하지 않은 채 3월이 경과한 후에 보험사고가 발생하여도 보험자는 보험금액 지급 책임이 있다.","1","상법 제659조 제1항에 따르면 보험자는 보험계약자, 피보험자, 보험수익자의 고의 또는 중대한 과실로 인하여 생긴 때에는 보험금을 지급할 책임이 없으나, 중대한 과실은 보상하는 것으로 약정할 수 있고 인보험에서는 중과실 사고를 보상하는 것이 원칙이다. 특히 상법은 고의사고만 절대면책으로 규정한다.",""
"2024","상법(보험편)","12. 甲은 자기 소유의 건물에 대해 A보험회사와 화재보험계약을 체결하였고, A보험회사는 이 화재보험계약으로 인하여 부담할 책임에 대하여 B보험회사와 재보험계약을 체결한 경우 그 법률관계에 관한 설명으로 옳은 것은?","1. 화재보험계약의 보험기간 개시 전에 화재가 발생한 경우 B보험회사는 A보험회사에게 보험금 지급의무가 없다.","2. 甲의 고의로 화재보험계약의 보험기간 중에 화재가 발생한 경우 B보험회사는 A보험회사에게 보험금 지급의무가 있다.","3. A보험회사의 B보험회사에 대한 보험금청구권은 1년간 행사하지 아니하면 시효의 완성으로 소멸한다.","4. B보험회사의 A보험회사에 대한 보험료청구권은 6개월간 행사하지 아니하면 시효의 완성으로 소멸한다.","1","재보험계약은 원보험계약과 독립된 계약이므로 원보험계약의 보험기간 개시 전 사고에 대해서는 재보험자가 책임을 지지 않는다.",""
"2024","상법(보험편)","13. 가계보험의 약관조항 중 상법상 불이익변경금지원칙에 위반되지 않는 것은?","1. 보험계약자가 계약 체결시 과실없이 중요한 사항을 불고지한 경우에도 보험자의 해지권을 인정한 약관조항","2. 보험료청구권의 소멸시효기간을 단축하는 약관조항","3. 보험수익자가 보험계약 체결시 고지의무를 부담하도록 하는 약관조항","4. 보험사고 발생 전이지만 일정한 기간 동안 보험계약자의 계약 해지를 금지하는 약관조항","3","상법 제664조 단서에 따라 재보험 및 해상보험 등은 불이익변경금지원칙의 예외이나 가계보험은 적용된다. 고지의무는 상법상 보험계약자 및 피보험자의 의무인데 보험수익자가 부담하도록 하는 것은 수익자에게 불이익한 변경이 아니거나 상대적으로 허용되는 범위로 해석될 수 있다. 반면 해지권 인정, 시효 단축 등은 명백히 불리하다.",""
"2024","상법(보험편)","14. 상법상 손해보험증권에 기재해야 할 사항으로 옳지 않은 것은?","1. 피보험자의 주민등록번호","2. 보험기간을 정한 경우 그 시기와 종기","3. 보험료와 그 지급방법","4. 무효와 실권의 사유","1","상법 제666조에 따른 손해보험증권 기재사항에는 피보험자의 성명 또는 상호가 포함되나, 주민등록번호는 필수 기재사항이 아니다.",""
