기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2022","상법(보험편)","1. 상법상 손해보험계약에 관한 설명으로 옳은 것은?","1. 피보험자는 보험계약에서 정한 불확정한 사고가 발생한 경우 보험금의 지급을 보험자에게 청구할 수 없다.","2. 보험자가 보험계약자로부터 보험계약의 청약과 함께 보험료 상당액의 전부 또는 일부의 지급을 받은 때는 다른 약정이 없으면 30일 이내에 낙부통지를 발송해야 한다.","3. 보험자는 보험사고가 발생한 경우 보험금이 아닌 형태의 보험급여를 지급할 것을 약정할 수 없다.","4. 보험기간의 시기(始期)는 보험계약 체결시점과 같아야 한다.","2","상법 제647조에 따라 보험자가 보험계약의 청약과 함께 보험료 상당액의 전부 또는 일부의 지급을 받은 때에는 다른 약정이 없으면 30일 이내에 낙부통지를 발송해야 합니다.",""
"2022","상법(보험편)","2. 甲보험회사의 화재보험 약관에는 보험계약자에게 설명해야 하는 중요한 내용을 포함하고 있으나 甲회사가 이를 설명하지 않고 보험계약을 체결하였다. 이에 관한 설명으로 옳지 않은 것은? (다툼이 있으면 판례에 따름)","1. 보험계약이 성립한 날로부터 1개월이 된 시점이라면 보험계약자는 보험계약을 취소할 수 있다.","2. 甲보험회사는 화재보험약관을 보험계약자에게 교부해야 한다.","3. 보험계약이 성립한 날로부터 4개월이 된 시점이라면 보험계약자는 보험계약을 취소할 수 없다.","4. 보험계약자가 보험계약을 취소하지 않았다면 甲보험회사는 중요한 약관조항을 계약의 내용으로 주장할 수 있다.","4","보험자가 약관 설명의무를 위반한 경우 그 약관의 내용을 계약의 내용으로 주장할 수 없습니다.",""
"2022","상법(보험편)","3. 상법상 보험증권에 관한 설명으로 옳은 것은?","1. 보험계약자가 보험증권을 멸실한 경우에는 보험자에 대하여 증권의 재교부를 청구할 수 있으며, 그 증권 작성의 비용은 보험계약자가 부담한다.","2. 기존의 보험계약을 변경한 경우 보험자는 그 보험증권에 그 사실을 기재함으로써 보험증권의 교부에 갈음할 수 없다.","3. 타인을 위한 보험계약이 성립된 경우에는 보험자는 그 타인에게 보험증권을 교부해야 한다.","4. 보험계약자가 최초의 보험료를 지급하지 아니한 경우에도 보험계약이 성립한 때에는 보험자는 지체없이 보험증권을 작성하여 보험계약자에게 교부하여야 한다.","1","상법 제641조에 따라 보험계약자가 보험증권을 멸실한 경우 재교부를 청구할 수 있으며, 그 비용은 보험계약자가 부담합니다.",""
"2022","상법(보험편)","4. 타인을 위한 손해보험계약(보험회사 A, 보험계약자 B, 타인 C)에서 보험사고의 객관적 확정이 있는 경우 그 보험계약의 효력에 관한 설명으로 옳지 않은 것은?","1. 보험계약 당시에 보험사고가 이미 발생하였음을 B가 알고서 보험계약을 체결하였다면 그 계약은 무효이다.","2. 보험계약 당시에 보험사고가 이미 발생하였음을 A와 B가 알았을지라도 C가 알지 못했다면 그 계약은 유효하다.","3. 보험계약 당시에 보험사고가 발생할 수 없음을 A가 알면서도 보험계약을 체결하였다면 그 계약은 무효이다.","4. 보험계약 당시에 보험사고가 발생할 수 없음을 A, B, C가 알지 못한 때에는 그 계약은 유효하다.","2","상법 제644조에 따라 보험계약의 당사자 쌍방과 피보험자가 사고가 이미 발생하였음을 알지 못한 때에는 계약이 유효하지만, 어느 한 쪽이라도 알았다면 무효입니다.",""
"2022","상법(보험편)","5. 상법상 보험대리상 등에 관한 설명으로 옳은 것은 모두 몇 개인가? ○ 보험대리상은 보험계약자로부터 보험료를 수령할 수 있는 권한을 갖는다. ○ 보험대리상이 아니면서 특정한 보험자를 위하여 계속적으로 보험계약의 체결을 중개하는 자는 보험자가 작성한 보험증권을 보험계약자에게 교부할 수 있는 권한을 갖는다. ○ 대리인에 의하여 보험계약을 체결한 경우 대리인이 안 사유는 그 본인이 안 것과 동일한 것으로 한다. ○ 보험자는 보험대리상이 보험계약자로부터 청약, 고지, 통지 등 보험계약에 관한 의사표시를 수령할 수 있는 권한을 제한할 수 없다.","1. 1개","2. 2개","3. 3개","4. 4개","3","보험료 수령권, 증권 교부권, 대리인이 안 사유의 효력은 옳으나, 보험대리상의 의사표시 수령권 제한은 선의의 제3자에게 대항하지 못할 뿐 제한 자체는 가능합니다.",""
"2022","상법(보험편)","6. 상법상 보험계약자가 보험자와 보험료를 분납하기로 약정한 경우에 관한 설명으로 옳지 않은 것은?","1. 보험계약 체결 후 보험계약자가 제1회 보험료를 지급하지 아니한 경우, 다른 약정이 없는 한 계약 성립 후 2월이 경과하면 보험계약은 해제된 것으로 본다.","2. 계속보험료가 연체된 경우 보험자는 즉시 그 계약을 해지할 수는 없다.","3. 계속보험료가 연체된 경우 보험대리상이 아니면서 특정한 보험자를 위하여 계속적으로 보험계약의 체결을 중개하는 자는 보험계약자에 대해 해지의 의사표시를 할 수 있는 권한이 있다.","4. 보험대리상이 아니면서 특정한 보험자를 위하여 계속적으로 보험계약의 체결을 중개하는 자는 보험자가 작성한 영수증을 보험계약자에게 교부하는 경우에 한하여 보험료를 수령할 권한이 있다.","3","보험계약의 체결을 중개하는 자(보험중개인)는 보험계약에 대한 해지권 등의 권한이 없습니다.",""
"2022","상법(보험편)","7. 상법상 특정한 타인(이하 “A”라고 함)을 위한 손해보험계약에 관한 설명으로 옳은 것은?","1. 보험계약자는 A의 동의를 얻지 아니하거나 보험증권을 소지하지 아니하면 그 계약을 해지하지 못한다.","2. A가 보험계약에 따른 이익을 받기 위해서는 이익을 받겠다는 의사표시를 하여야 한다.","3. 보험계약자가 계속보험료의 지급을 지체한 때에는 보험자는 A에게 보험료 지급을 최고하지 않아도 보험계약을 해지할 수 있다.","4. 보험계약자가 A를 위해 보험계약을 체결하려면 A의 위임을 받아야 한다.","1","상법 제639조 제2항에 따라 보험계약자는 타인의 동의를 얻지 아니하거나 보험증권을 소지하지 아니하면 그 계약을 해지하지 못합니다.",""
"2022","상법(보험편)","8. 상법상 손해보험계약의 부활에 관한 설명으로 옳지 않은 것은?","1. 제1회 보험료의 지급이 이루어지지 않아 보험계약이 해제된 경우 보험계약자는 보험계약의 부활을 청구할 수 있다.","2. 계속보험료의 연체로 인하여 보험계약이 해지되고 해지환급금이 지급되지 아니한 경우 보험계약자는 보험계약의 부활을 청구할 수 있다.","3. 계속보험료의 연체로 인하여 보험계약이 해지된 경우 보험계약자가 보험계약의 부활을 청구하려면 연체보험료에 약정이자를 붙여 보험자에게 지급해야 한다.","4. 보험계약자가 상법상의 요건을 갖추어 계약의 부활을 청구하는 경우 보험자는 30일 이내에 낙부통지를 발송해야 한다.","1","상법상 부활은 계속보험료 미지급으로 해지된 경우에 적용되며, 제1회 보험료 미지급으로 인한 계약 해제는 부활의 대상이 아닙니다.",""
"2022","상법(보험편)","9. 상법상 고지의무에 관한 설명으로 옳은 것은?","1. 타인을 위한 손해보험계약에서 그 타인은 고지의무를 부담하지 않는다.","2. 보험자가 서면으로 질문한 사항은 중요한 사항으로 본다.","3. 고지의무자가 고의 또는 중과실로 중요한 사항을 불고지 또는 부실고지 한 사실을 보험자가 보험계약 체결직후 알게 된 경우, 보험자가 그 사실을 안 날로부터 1월이 경과하면 보험계약을 해지할 수 없다.","4. 고지의무자가 고의 또는 중과실로 중요한 사항을 불고지 또는 부실고지한 경우 보험자가 계약 당시에 그 사실을 알았을지라도 보험자는 보험계약을 해지할 수 있다.","2","상법 제651조의2에 따라 보험자가 서면으로 질문한 사항은 중요한 사항으로 추정(본다)합니다.",""
"2022","상법(보험편)","10. 보험기간 중 사고발생의 위험이 현저하게 변경된 경우에 관한 설명으로 옳은 것을 모두 고른 것은? ㄱ. 보험수익자가 이 사실을 안 때에는 지체없이 보험자에게 통지하여야 한다. ㄴ. 보험자가 보험계약자로부터 위험변경의 통지를 받은 때로부터 2월이 경과하면 계약을 해지할 수 없다. ㄷ. 보험수익자의 고의로 인하여 위험이 현저하게 변경된 때에는 보험자는 보험료의 증액을 청구할 수 있다. ㄹ. 피보험자의 중대한 과실로 인하여 위험이 현저하게 변경된 때에는 보험자는 계약을 해지할 수 없다.","1. ㄱ, ㄴ","2. ㄴ, ㄷ","3. ㄷ, ㄹ","4. ㄱ, ㄴ, ㄷ, ㄹ","1","상법 제652조에 따라 통지의무자는 보험계약자 또는 피보험자이며, 위험변경 사실을 안 때 지체없이 통지해야 합니다. 통지를 받은 보험자는 1개월 내에 해지 또는 증액을 청구할 수 있습니다. ㄷ의 경우 수익자 고의는 면책 사유이며, ㄹ은 해지가 가능합니다.",""
