기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2023","상법","1. 상법상 보험자가 보험계약자로부터 손해보험계약의 청약과 함께 보험료 상당액의 전부 또는 일부를 받은 경우 이 보험계약에 관한 설명으로 옳지 않은 것은?","1. 보험계약은 낙성계약이므로 보험자가 승낙하면 성립한다.","2. 다른 약정이 없으면 보험자는 30일내에 보험계약자에 대하여 낙부의 통지를 발송하여야 한다.","3. 보험자가 상법이 정하는 낙부의 통지기간내에 그 통지를 해태한 때에는 승낙한 것으로 본다.","4. 승낙하기 전에 발생한 보험사고에 대해서 청약을 거절할 사유가 있더라도 보험자는 보험계약상의 책임을 진다.","4","승낙 전 사고의 담보(상법 제644조)에 따르면, 보험자가 청약을 거절할 정당한 사유가 있는 경우에는 보험금 지급 책임을 지지 않습니다.",""
"2023","상법","2. 상법상 타인을 위한 보험에 관한 설명으로 옳지 않은 것은?","1. 보험계약자는 보험자에 대하여 보험료를 지급할 의무가 있다.","2. 보험계약자는 위임을 받지 아니하고 타인을 위하여 보험계약을 체결할 수 있다.","3. 타인은 계약 성립 시 특정되어야 한다.","4. 보험계약자가 파산선고를 받은 때에는 그 타인이 그 권리를 포기하지 아니하는 한 그 타인도 보험료를 지급할 의무가 있다.","3","타인을 위한 보험계약에서 피보험자인 '타인'은 계약 성립 시에 확정되어 있을 필요는 없으며, 특정할 수 있는 정도면 충분합니다.",""
"2023","상법","3. 상법상 보험증권에 관한 설명으로 옳은 것은?","1. 기존의 보험계약을 변경한 경우 보험자는 그 보험증권에 그 사실을 기재함으로써 보험증권의 교부에 갈음할 수 있다.","2. 보험자는 보험계약자의 청약이 있는 경우 보험료의 지급 여부와 상관없이 지체없이 보험증권을 작성하여 보험계약자에게 교부하여야 한다.","3. 보험계약의 당사자는 보험증권의 교부가 있은 날부터 14일내에 한하여 그 증권내용의 정부(正否)에 관한 이의를 할 수 있음을 약정할 수 있다.","4. 보험계약자가 보험증권을 멸실한 경우 보험계약자는 보험자에게 증권의 재교부를 청구할 수 있으며, 그 증권작성의 비용은 보험자의 부담으로 한다.","1","상법 제640조 제2항에 따라 기존의 보험계약을 변경 또는 연장한 경우 보험자는 기존 보험증권에 그 사실을 기재함으로써 새로운 증권의 교부에 갈음할 수 있습니다.",""
"2023","상법","4. 상법상 보험사고 등에 관한 설명으로 옳지 않은 것은?","1. 보험계약은 그 계약전의 어느 시기를 보험기간의 시기(始期)로 할 수 있다.","2. 보험계약 당시에 보험사고가 발생할 수 없음이 객관적으로 확정된 경우 당사자 쌍방과 피보험자가 이를 알지 모르았는지 여부에 관계없이 그 계약은 무효로 한다.","3. 자기를 위한 보험계약에서 보험사고가 발생하기 전에는 언제든지 보험계약자는 계약의 전부 또는 일부를 해지할 수 있다.","4. 피보험자는 보험사고의 발생을 안 때에는 지체없이 보험자에게 그 통지를 발송하여야 한다.","2","보험계약 당시에 보험사고가 이미 발생하였거나 발생할 수 없는 것인 때에는 그 계약은 무효로 하나, 당사자 쌍방과 피보험자가 이를 알지 못한 때에는 그러하지 아니합니다(상법 제644조 단서).",""
"2023","상법","5. 甲은 보험대리상이 아니면서 특정한 보험자 乙을 위하여 계속적으로 보험계약의 체결을 중개하는 자로서 丙이 乙과 보험계약을 체결하도록 중개하였다. 甲의 권한에 관한 설명으로 옳지 않은 것은?","1. 甲은 자신이 작성한 영수증을 丙에게 교부하는 경우 丙으로부터 보험료를 수령할 권한이 있다.","2. 甲은 乙이 작성한 보험증권을 丙에게 교부할 수 있는 권한이 있다.","3. 甲은 丙으로부터 청약, 고지, 통지, 해지, 취소 등 보험계약에 관한 의사표시를 수령할 수 있는 권한이 없다.","4. 甲은 丙에게 보험계약의 체결, 변경, 해지 등 보험계약에 관한 의사표시를 할 수 있는 권한이 없다.","1","보험중개인(보험설계사)은 보험자가 작성한 영수증을 교부하는 경우에만 보험료를 수령할 권한이 있으며, 자신이 작성한 영수증으로는 권한이 없습니다.",""
"2023","상법","6. 상법상 보험료의 지급 및 반환 등에 관한 설명으로 옳은 것은?","1. 보험사고가 발생하기 전에 보험계약자가 계약을 해지한 경우 당사자간에 약정을 한 경우에 한해 보험계약자는 미경과보험료의 반환을 청구할 수 있다.","2. 보험계약자가 계약체결후 제1회 보험료를 지급하지 아니하는 경우 다른 약정이 없는 한 보험자가 계약성립후 2월이내에 그 계약을 해제하지 않으면 그 계약은 존속한다.","3. 계속보험료가 약정한 시기에 지급되지 아니한 때에는 보험자는 보험계약자에 대하여 최고 없이 그 계약을 해지할 수 있다.","4. 특정한 타인을 위한 보험의 경우에 보험계약자가 보험료의 지급을 지체한 때에는 보험자는 그 타인에게 상당한 기간을 정하여 보험료의 지급을 최고한 후가 아니면 그 계약을 해제 또는 해지하지 못한다.","4","타인을 위한 보험에서 보험계약자가 보험료 지급을 지체한 경우, 보험자는 그 타인에게도 최고를 한 후가 아니면 계약을 해제 또는 해지할 수 없습니다.",""
"2023","상법","7. 상법상 보험계약자가 부활을 청구할 수 있는 경우는 모두 몇 개인가? (단, 어느 경우든 해지환급금은 지급되지 않음) ○ 보험계약자가 계속보험료를 지급하지 않아 보험자가 계약을 해지한 경우 ○ 피보험자의 고지의무 위반을 이유로 보험자가 계약을 해지한 경우 ○ 위험이 현저하게 변경되어 보험자가 계약을 해지한 경우 ○ 위험이 현저하게 증가하여 보험자가 계약을 해지한 경우","1. 1개","2. 2개","3. 3개","4. 4개","1","상법상 보험계약의 부활(제650조의2)은 '계속보험료 미납으로 인하여 계약이 해지된 경우'에만 적용됩니다.",""
"2023","상법","8. 상법상 고지의무에 관한 설명으로 옳은 것은?","1. 보험수익자는 고지의무를 부담한다.","2. 보험계약당시에 고지의무와 관련 보험자가 서면으로 질문한 사항은 중요한 사항으로 의제한다.","3. 고지의무자의 고지의무 위반을 이유로 보험자가 계약을 해지한 경우 보험자는 이미 받은 보험료의 전부를 반환하여야 한다.","4. 고지의무자가 고지의무를 위반한 사실이 보험사고 발생에 영향을 미치지 아니하였음이 증명된 경우 보험자는 보험금을 지급할 책임이 있다.","4","고지의무 위반 사실이 보험사고 발생에 영향을 미치지 않았음이 증명된 경우에는 보험자는 보험금을 지급할 책임이 있습니다(상법 제655조 단서).",""
"2023","상법","9. 상법상 보험계약 관련 소멸시효의 기간으로 옳은 것은?","1. 보험금청구권: 2년","2. 보험료청구권: 3년","3. 보험료의 반환청구권: 2년","4. 적립금의 반환청구권: 3년","4","보험금청구권은 3년, 보험료반환청구권은 3년, 보험료청구권은 2년, 보험금액적립금반환청구권은 3년입니다. 따라서 4번 적립금 반환청구권 3년이 옳습니다.",""
"2023","상법","10. 상법상 손해보험증권에 관한 설명으로 옳지 않은 것은?","1. 보험사고의 성질을 기재하여야 한다.","2. 보험증권의 작성지를 기재하여야 한다.","3. 보험계약자가 기명날인하여야 한다.","4. 무효와 실권의 사유를 기재하여야 한다.","3","상법 제666조에 의하면 보험증권에는 보험자가 기명날인 또는 서명하여야 하며, 보험계약자가 기명날인하는 것은 아닙니다.",""
