기출년도,과목,문제,보기1,보기2,보기3,보기4,정답,해설,이미지
"2025","상법(보험편)","1. 상법상 보험계약의 법적 성질로 옳지 않은 것은?","1. 낙성ㆍ불요식계약성","2. 사행ㆍ선의계약성","3. 부합계약성","4. 유상ㆍ편무계약성","4","보험계약은 보험자와 보험계약자 쌍방이 의무를 지는 유상ㆍ쌍무계약입니다. 따라서 편무계약이라는 설명은 옳지 않습니다.",""
"2025","상법(보험편)","2. 상법상 타인을 위한 보험에 관한 설명으로 옳지 않은 것을 모두 고른 것은? ㄱ. 보험계약자는 위임을 받지 아니하고 타인을 위하여 보험계약을 체결할 수 없다. ㄴ. 타인을 위한 손해보험계약의 보험계약자가 그 타인에게 보험사고의 발생으로 생긴 손해의 배상을 한 때에는 보험계약자는 그 타인의 권리를 해하지 아니하는 범위안에서 보험자에게 보험금액의 지급을 청구할 수 있다. ㄷ. 보험계약자는 보험자에 대하여 보험료를 지급할 의무가 있다. ㄹ. 보험계약자가 파산선고를 받은 경우에 그 타인은 자신의 보험상 권리의 포기 여부에 관계없이 보험료를 지급할 의무가 있다.","1. ㄱ, ㄴ","2. ㄱ, ㄹ","3. ㄴ, ㄷ","4. ㄷ, ㄹ","2","ㄱ. 보험계약자는 위임을 받지 아니하고도 타인을 위하여 보험계약을 체결할 수 있습니다. ㄹ. 타인이 그 권리를 포기하지 아니하는 한 보험료를 지급할 의무가 있습니다.",""
"2025","상법(보험편)","3. 상법상 보험증권에 관한 설명으로 옳은 것은?","1. 보험계약자가 최초의 보험료를 지급하지 아니한 때에도 보험자는 보험계약이 성립한 때에는 지체없이 보험증권을 작성하여 보험계약자에게 교부하여야 한다.","2. 기존의 보험계약을 변경한 경우 보험자는 그 보험증권에 그 사실을 기재함으로써 보험증권의 교부에 갈음할 수 있다.","3. 보험계약의 당사자는 보험증권의 교부가 있은 날부터 14일 기간내에 한하여 그 증권 내용의 정부에 관한 이의를 할 수 있음을 약정할 수 있다.","4. 보험계약자가 보험증권을 현저하게 훼손하여 증권의 재교부를 청구한 경우 그 비용은 보험자가 부담하여야 한다.","2","기존 보험계약을 변경한 경우 보험자는 기존 증권에 그 사실을 기재함으로써 새로운 증권 교부를 갈음할 수 있습니다.",""
"2025","상법(보험편)","4. 상법상 보험사고에 관한 설명으로 옳은 것은?","1. 보험사고의 발생으로 보험자가 보험금액을 지급한 때에도 보험금액이 감액되지 아니하는 보험의 경우에는 보험계약자가 그 사고발생 후에 보험계약을 해지할 수 없다.","2. 보험계약 당시에 보험사고가 이미 발생하였음을 보험계약자가 알고 있었다면 그 계약은 무효으로 한다.","3. 보험계약 당시에 보험사고가 객관적으로 발생할 수 없음을 보험계약자와 보험자가 몰랐다면, 피보험자가 이를 알았더라도 그 계약은 무효로 볼 수 없다.","4. 계약전의 어느 시기를 보험기간의 시기(始期)로 한 보험계약은 무효이다.","2","보험계약 당시에 보험사고가 이미 발생하였음을 보험계약자 또는 피보험자가 알고 있었다면 그 계약은 무효입니다.",""
"2025","상법(보험편)","5. 상법상 보험대리상 등에 관한 설명으로 옳지 않은 것은?","1. 보험대리상은 보험계약자로부터 청약 등의 보험계약에 관한 의사표시를 수령할 수 있는 권한이 있다.","2. 보험자는 상법에 정해진 보험대리상의 권한을 제한할 수 없다.","3. 보험대리상이 아니면서 특정한 보험자를 위하여 계속적으로 보험계약의 체결을 중개하는 자는 보험자가 작성한 영수증을 보험계약자에게 교부하는 경우만 보험계약자로부터 보험료를 수령할 수 있는 권한이 있다.","4. 보험대리상은 피보험자가 보험계약에 관한 의사표시를 할 의무가 있는 경우 피보험자의 의사표시를 수령할 권한이 있다.","2","보험자는 보험대리상의 권한을 제한할 수 있습니다. 다만, 선의의 제3자에게 대항하지 못할 뿐입니다.",""
"2025","상법(보험편)","6. 상법상 보험료에 관한 설명으로 옳은 것은?","1. 보험계약의 일부가 무효인 경우에 보험계약자와 피보험자가 선의이며 중대한 과실이 없는 때에도 보험자에 대하여 보험료의 일부의 반환을 청구할 수 없다.","2. 보험계약의 전부가 무효인 경우에 보험계약자와 보험수익자가 선의이며 중대한 과실이 없는 때에도 보험자에 대하여 보험료의 반환을 청구할 수 없다.","3. 보험계약의 당사자가 특별한 위험을 예기하여 보험료의 액을 정한 경우에 보험기간중 그 예기한 위험이 소멸한 때에는 보험계약자는 그 후의 보험료의 감액을 청구할 수 있다.","4. 보험사고가 발생하기 전에 보험계약자가 보험계약의 전부를 해지한 경우에도 보험계약자는 당사자간에 다른 약정이 없으면 미경과보험료의 반환을 청구할 수 없다.","3","상법 제647조에 따라 특별한 위험을 예기하여 보험료를 정한 경우 위험이 소멸하면 보험료 감액을 청구할 수 있습니다.",""
"2025","상법(보험편)","7. 상법상 보험료의 지급에 관한 설명으로 옳은 것은?","1. 보험계약자가 계약체결후 지체없이 제1회 보험료를 지급하지 아니하는 경우에는 다른 약정이 없는 한 계약성립후 2월이 경과하면 그 계약은 해제된 것으로 본다.","2. 계속보험료가 약정한 시기에 지급되지 아니한 때에는 보험자는 바로 그 계약을 해지할 수 있다.","3. 타인을 위한 보험의 경우에 보험계약자가 보험료의 지급을 지체한 때에 보험자가 계약을 해지하기 위해서 그 타인에게 보험료 지급을 최고할 필요는 없다.","4. 보험자의 책임은 당사자간에 다른 약정이 없으면 보험계약자의 보험료 지급 여부에 관계없이 계약이 성립한 때부터 개시한다.","1","제1회 보험료를 지급하지 않은 상태에서 계약성립 후 2월이 경과하면 계약은 해제된 것으로 간주합니다.",""
"2025","상법(보험편)","8. 상법상 보험계약 부활에 관한 설명으로 옳은 것은?","1. 보험계약의 해지 사유에 관계없이 보험계약자는 보험계약의 부활을 청구할 수 있다.","2. 보험계약이 해지된 후 보험계약자가 해지환급금을 지급받은 뒤에도 해지환급금을 반환한다면 부활을 청구할 수 있다.","3. 보험계약자가 계약의 부활을 청구하는 경우 보험자는 이를 승낙하여야 한다.","4. 계속보험료의 연체로 인하여 보험계약이 해지되고 해지환급금이 지급되지 아니한 경우에 보험계약자는 일정한 기간내에 연체보험료에 약정이자를 붙여 보험자에게 지급하고 그 계약의 부활을 청구할 수 있다.","4","계속보험료 연체로 해지되고 해지환급금이 지급되지 않은 경우, 일정 기간 내에 연체보험료와 이자를 지급하고 부활을 청구할 수 있습니다.",""
"2025","상법(보험편)","9. 상법상 고지의무 위반으로 인한 계약해지에 관한 설명으로 옳지 않은 것은?","1. 보험자는 보험계약 당시에 보험계약자의 고지의무 위반 사실을 중대한 과실로 알지 못했던 때에는 계약을 해지할 수 없다.","2. 보험계약 당시에 피보험자가 경과실로 인하여 중요한 사항에 대하여 부실의 고지를 한 경우 보험자는 계약을 해지할 수 있다.","3. 보험자는 보험계약 당시에 피보험자의 고지의무 위반 사실을 알았던 경우에는 계약을 해지할 수 없다.","4. 보험계약 당시에 보험계약자가 고의로 중요한 사항을 고지하지 아니한 경우 보험자는 계약을 해지할 수 있다.","2","고지의무 위반은 고의 또는 중대한 과실이 있는 경우에만 해지할 수 있습니다. 경과실로 인한 경우는 해지 사유가 아닙니다.",""
"2025","상법(보험편)","10. 상법상 위험변경ㆍ증가에 관한 설명으로 옳지 않은 것은?","1. 보험계약자가 사고발생의 위험이 현저하게 변경ㆍ증가된 사실을 안 때에는 지체없이 보험자에게 통지하여야 한다.","2. 보험자가 위험변경ㆍ증가의 통지를 받은 때에는 1월내에 보험료의 증액을 청구할 수 있다.","3. 보험계약자의 고의로 인하여 사고발생의 위험이 현저하게 변경된 때에는 보험자는 그 사실을 안 날부터 1월내에 보험료의 증액을 청구할 수 있다.","4. 피보험자의 중대한 과실로 인하여 사고발생의 위험이 현저하게 증가된 때에는 보험자는 그 사실을 안 날부터 3월내에 계약을 해지할 수 있다.","4","피보험자의 중대한 과실로 위험이 증가한 경우 보험자는 그 사실을 안 날로부터 '1월' 내에 계약을 해지할 수 있습니다.",""
